dataset,file,resolution,n_rows,n_cols,square,date_range,n_zones_covered,checked_at
flowminder_short_trips,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static.matrix.csv,static,4,428,False,,4,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static.matrix.csv,static,4,428,False,,4,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__nk_subscriber_days_followup_20260608__static.matrix.csv,static,3,429,False,,3,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__nk_subscriber_days_prior_20260503__static.matrix.csv,static,3,429,False,,3,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260430__static.matrix.csv,static,3,130,False,,3,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260507__static.matrix.csv,static,3,130,False,,3,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260514__static.matrix.csv,static,3,130,False,,3,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260521__static.matrix.csv,static,3,130,False,,3,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260524__static.matrix.csv,static,3,130,False,,3,2026-07-08T18:05:18+00:00
