Ituri,05-06-2026,The security situation remains unstable in the health zones of Nizi and Bambu.
Ituri,06-06-2026,Presence of armed groups continues to limit humanitarian access in several affected or at-risk health zones.
Ituri,08-06-2026,"13 décès enregistrés dans les CTE/CI/ESS dont 9 cas confirmés (1 à CME, 1 à Rwampara : une femme enceinte de 9 semaines, 4 à Mongbwalu, 1 à Elikya et 1 à Bambu) et 4 suspects incluant 2 PPL (1 à CME, 1 Bambu, 1 Nyankunde et 1 Elikya). Cinq (5) enfants de l'orphelinat Saint-Nicolas, déclarés non-cas après 2 résultats négatifs au CTE CME. 3 nouveaux guéris au CTE CME de la ZS de Rwampara (province de l'Ituri). Ainsi, le cumul des guéris, passe de 19 à 22 dont 20 dans la province de l'Ituri et 2 au Nord-Kivu (Goma et Katwa). Patients au lit (J-1): 286, Admissions (24h): 27, Sorties Décédés: 13, Sorties Non-cas/Guéris: 21, Sorties Evadés: 12, Sorties Transférés à l'HGR: 1, Total sorties: 47, Patients en isolement (Fin J): 266, dont confirmés: 106, dont suspects: 160. Proportion des nouveaux cas confirmés ayant bénéficié d'interventions SMSSPS: 3 (9,7%). Proportion des cas confirmés en cours de suivi ayant bénéficié d'interventions SMSSPS: 30 (31,3%). Proportion nouveaux cas suspects ayant bénéficié d'interventions SMSSPS: 5 (18,5%). Proportion cas suspects en cours de suivi ayant bénéficié d'interventions SMSSPS: 32 (24,1%). Proportion Résultats de laboratoire ayant été annoncé: 110. Dont positifs: 4 (36,4%). Proportion Enfants séparés en crèche ayant bénéficié d'interventions SMSSPS: 1 (100,0%). Nb Accompagnants au CTE ayant bénéficié d'interventions SMSSPS: 7. Nb PPL ayant bénéficié d'interventions SMSSPS: 14."
North-Kivu,08-06-2026,"Patients au lit (J-1): 17, Admissions (24h): 7, Sorties Décédés: 0, Sorties Non-cas/Guéris: 0, Sorties Evadés: 0, Sorties Transférés à l'HGR: 0, Total sorties: 0, Patients en isolement (Fin J): 24, dont confirmés: 6, dont suspects: 18. Proportion des cas confirmés en cours de suivi ayant bénéficié d'interventions SMSSPS: 6 (100%). Proportion cas suspects en cours de suivi ayant bénéficié d'interventions SMSSPS: 28 (100%). Proportion Résultats de laboratoire ayant été annoncé: 5. Nb Accompagnants au CTE ayant bénéficié d'interventions SMSSPS: 10. Nb PPL ayant bénéficié d'interventions SMSSPS: 16."
South-Kivu,08-06-2026,"Patients au lit (J-1): 7, Admissions (24h): 0, Sorties Décédés: 0, Sorties Non-cas/Guéris: 0, Sorties Evadés: 0, Sorties Transférés à l'HGR: 0, Total sorties: 0, Patients en isolement (Fin J): 7, dont confirmés: 1, dont suspects: 6. Proportion des nouveaux cas confirmés ayant bénéficié d'interventions SMSSPS: 1 (100%). Proportion des cas confirmés en cours de suivi ayant bénéficié d'interventions SMSSPS: 5 (100%). Proportion Enfants séparés en crèche ayant bénéficié d'interventions SMSSPS: 4 (100%)."
