"","nom","pop_density"
"1","Aketi",12.9823573078756
"2","Ango",4.80113823843538
"3","Bili (Bas-Uele)",3.65185125255871
"4","Bondo",19.1861189935571
"5","Buta",27.7585572369817
"6","Ganga",25.738168120032
"7","Likati",12.4538500380421
"8","Monga",19.2474198006467
"9","Poko",11.7263007633211
"10","Titule",8.70494068308215
"11","Viadana",49.7175898171526
"12","Aba",62.1917395428462
"13","Boma Mangbetu",150.604080538261
"14","Doruma",5.50183473415572
"15","Dungu",16.2983232640934
"16","Faradje",32.2610739460884
"17","Gombari",13.6663979836201
"18","Isiro",157.173190370321
"19","Niangara",18.8090020759711
"20","Pawa",164.129314559507
"21","Rungu",39.4587478568211
"22","Wamba",32.9959663235373
"23","Makoro",54.9540289610881
"24","Watsa",68.4134818557312
"25","Basankusu",20.3372735295259
"26","Bikoro",43.1094455324918
"27","Bolenge",53.4910491678992
"28","Bolomba",18.5598300710018
"29","Bomongo",12.5487611844892
"30","Djombo",20.2352606082873
"31","Iboko",36.7395624682297
"32","Ingende",27.5014988768881
"33","Irebu",13.1994692353429
"34","Lilanga Bobangi",6.04088450104602
"35","Lotumbe",8.93504079691987
"36","Lukolela",26.463842362896
"37","Makanza",14.6380579533627
"38","Mampoko",13.1349036048055
"39","Mbandaka",161.832200449526
"40","Monieka",8.44184497232254
"41","Ntondo",19.1862365171698
"42","Wangata",1102.56203680556
"43","Kambove",90.9300159249948
"44","Kapolowe",45.8427455335599
"45","Kikula",2787.59705179543
"46","Kilela Balanda",4.94219998378847
"47","Likasi",3981.00883905267
"48","Mitwaba",8.86995277141782
"49","Mufunga Sampwe",9.15210798438523
"50","Panda",717.533825711675
"51","Kafubu",20.8782870269998
"52","Kamalondo",12735.4546458465
"53","Kampemba",7473.6219386663
"54","Kasenga",24.5588578497139
"55","Kashobwe",15.2831781998332
"56","Katuba",11013.1344131094
"57","Kenya",1522.16466612784
"58","Kilwa",21.6349337127404
"59","Kipushi",86.5098818885649
"60","Kisanga",1700.07137603748
"61","Kowe",7445.19186351818
"62","Lubumbashi",3254.31824974067
"63","Lukafu",10.0363584429704
"64","Mumbunda",3624.35093462498
"65","Pweto",14.5956202526734
"66","Ruashi",2722.35946700977
"67","Sakania",18.0716905053921
"68","Tshamilemba",10337.4894657721
"69","Vangu",2407.76591412734
"70","Bukama",55.0240175292166
"71","Butumba",18.2304252899251
"72","Kabondo Dianda",53.7053286506
"73","Kinkondja",35.232585876238
"74","Lwamba",26.6936230305768
"75","Malemba Nkulu",169.576845171861
"76","Mukanga",48.3189125100111
"77","Mulongo",48.3376343935126
"78","Baka",216.966341527058
"79","Kabongo",38.5983080661306
"80","Kamina",40.4290149274013
"81","Kaniama",20.8357774888112
"82","Kayamba",27.7984676466443
"83","Kinda",3.48372429161733
"84","Kitenge",31.8992332561184
"85","Songa",7.50333280569769
"86","Adi",264.705086454213
"87","Adja",180.2161060734
"88","Angumu",418.959599521306
"89","Ariwara",472.552156473714
"90","Aru",339.239633491485
"91","Aungba",171.063075277196
"92","Biringi",83.0784480796211
"93","Kambala",113.635589703185
"94","Laybo",143.933856357625
"95","Logo",557.063799173426
"96","Mahagi",667.021055254224
"97","Nyarambe",566.105483014914
"98","Rimba",475.541098374732
"99","Bambu",293.755113499808
"100","Boga",73.1151310342453
"101","Bunia",4336.1457340514
"102","Damas",53.1851080273012
"103","Drodro",349.734033181171
"104","Fataki",374.843916988277
"105","Gety",86.0299313935469
"106","Jiba",218.661338075381
"107","Kilo",107.546199583958
"108","Komanda",69.5013595444792
"109","Linga",262.344407433916
"110","Lita",228.628253664484
"111","Lolwa",8.68092115622124
"112","Mambasa",9.38305119840287
"113","Mandima",45.9588924986637
"114","Mangala",162.268440527417
"115","Mongbwalu",49.26880991961
"116","Nia Nia",12.2620174888054
"117","Nizi",671.566862038288
"118","Nyankunde",100.872453475923
"119","Rethy",324.22621759422
"120","Rwampara",378.392262151519
"121","Tchomia",228.779480612625
"122","Bulape",19.4756223129555
"123","Dekese",6.82999666306712
"124","Ilebo",325.57912046148
"125","Kakenge",45.6477884850744
"126","Luebo",56.3955276190338
"127","Mikope",24.2656823330347
"128","Mushenge",19.8946907374737
"129","Mweka",101.28696032703
"130","Ndjoko Mpunda",61.2808366042285
"131","Banga Lubaka",22.0693907615084
"132","Kalonda Ouest",98.5393868690026
"133","Kamonia",49.1315578766871
"134","Kamwesha",82.122309352868
"135","Kanzala",479.227230667426
"136","Kitangwa",21.5344303827462
"137","Mutena",53.1556243033182
"138","Nyanga",58.9925371471958
"139","Tshikapa",211.018680738588
"140","Bena Leka",67.839361033034
"141","Bena Tshadi",30.0328063321637
"142","Bilomba",105.882599040813
"143","Bobozo",550.141889879756
"144","Bunkonde",60.0380229420344
"145","Demba",100.648929737855
"146","Dibaya",116.29293573509
"147","Kananga",1233.07333019698
"148","Katende",48.7268818679204
"149","Katoka",3287.61096650815
"150","Lubondaie",54.3096875603082
"151","Lubunga (Kasaï-Central)",45.6575162680737
"152","Lukonga",322.118815623776
"153","Mikalayi",81.3567807667986
"154","Muetshi",46.6696131445815
"155","Mutoto",56.194813603427
"156","Ndekesha",59.9701623519999
"157","Ndesha",835.473621306317
"158","Tshikaji",439.607683434395
"159","Tshikula",64.5558187249356
"160","Kalomba",73.4407460046288
"161","Luambo",58.9467602158024
"162","Luiza",82.6605975399539
"163","Masuika",135.035311161023
"164","Tshibala",84.6680318938055
"165","Yangala",30.4879602319464
"166","Bibanga",125.745781299213
"167","Bipemba",13200.6117295984
"168","Bonzola",13411.6106347968
"169","Cilundu",173.147070685043
"170","Citenge",772.937039698006
"171","Dibindi",30606.0199319408
"172","Diulu",22322.2746345137
"173","Kabeya Kamwanga",104.721743755331
"174","Kansele",33047.062478008
"175","Kasansa",238.64781717475
"176","Lubilanji",35903.9547102235
"177","Lukelenge",11051.6962995408
"178","Miabi",307.862790017503
"179","Mpokolo",3798.32545576395
"180","Mukumbi",134.48182856
"181","Muya",16656.3102309554
"182","Nzaba",7821.66972629281
"183","Tshilenge",486.074612073848
"184","Tshishimbi",274.688887291628
"185","Bumbu",33223.2261555083
"186","Kalamu 1",29356.155751717
"187","Kalamu 2",29368.0522743599
"188","Kasa Vubu",26033.5464032383
"189","Kingabwa",19435.0065106993
"190","Kisenso",24790.7169104155
"191","Lemba",24891.0112198877
"192","Limete",22229.8992985158
"193","Makala",30565.7003880199
"194","Matete",30030.0848811163
"195","Ngaba",34865.5164124915
"196","Ngiri Ngiri",33088.7349978813
"197","Biyela",14235.427827121
"198","Kikimi",15280.7057234908
"199","Kimbanseke",13227.5655001545
"200","Kingasani",32923.4001018986
"201","Maluku 1",102.685119418644
"202","Maluku 2",37.171633712605
"203","Masina 1",25022.4666226619
"204","Masina 2",24715.0075523494
"205","Ndjili",28772.4374509002
"206","Nsele",966.977388802684
"207","Bandalungwa",31496.0265813241
"208","Barumbu",28307.5125273445
"209","Binza Meteo",19960.1185615852
"210","Binza Ozone",17028.754947971
"211","Gombe",18596.5091258681
"212","Kinshasa",32019.878252793
"213","Kintambo",32027.8883156182
"214","Kokolo",22589.6938226243
"215","Lingwala",29686.7358057221
"216","Mont Ngafula 1",2398.78917349453
"217","Mont Ngafula 2",5620.78334421076
"218","Police",16768.3503452242
"219","Selembao",23843.6493866617
"220","Boma",3487.71880625628
"221","Boma Bungu",52.940007896912
"222","Kangu",266.84486975111
"223","Kinkonzi",129.388907857462
"224","Kitona",53.7571125711252
"225","Kizu",386.623615196494
"226","Kuimba",228.667672314186
"227","Lukula",158.264983112768
"228","Muanda",443.651955986946
"229","Tshela",230.004377797711
"230","Vaku",174.922766057891
"231","Inga",122.562729365482
"232","Kibunzi",33.2384689637489
"233","Luozi",80.9597964809423
"234","Mangembo",66.5883120227908
"235","Matadi",2938.30677510172
"236","Nsona Mpangu",53.8643464808214
"237","Nzanza",11183.4943909629
"238","Seke Banza",148.786490643459
"239","Boko Kivulu",165.142339669862
"240","Gombe Matadi",65.931433603502
"241","Kimpangu",110.313183299099
"242","Kimpese",103.14469119084
"243","Kimvula",44.396724559121
"244","Kisantu",314.036148100414
"245","Kwilu Ngongo",174.350890794557
"246","Massa",121.533726352113
"247","Mbanza Ngungu",570.000336435547
"248","Ngidinga",62.2839849098705
"249","Nselo",39.334412820479
"250","Sona Bata",56.3313154034514
"251","Kahemba",20.0367161791572
"252","Kajiji",12.6653677469698
"253","Kisanji",22.1485794130795
"254","Panzi",28.8669549292129
"255","Tembo",19.0156511216556
"256","Boko",33.0084950558999
"257","Feshi",29.6765048185068
"258","Kasongo Lunda",49.0046961069622
"259","Kenge",92.5565284374165
"260","Kimbao",46.2190308514955
"261","Kitenda",32.6819606599558
"262","Mwela Lembwa",28.3623078192089
"263","Popokabaka",45.9463841098082
"264","Wamba Lwadi",83.0807527386354
"265","Bagata",48.9614338562626
"266","Bandundu",197.965238238866
"267","Djuma",106.701626100987
"268","Kikongo",38.5378113275749
"269","Sia",63.8542026677682
"270","Vanga",204.557783284186
"271","Bulungu",140.812682743334
"272","Gungu",86.9223136352829
"273","Idiofa",119.469590594542
"274","Ipamu",115.606520288637
"275","Kikwit Nord",3124.49248036381
"276","Kikwit Sud",3704.91522684507
"277","Kimputu",79.9863998878976
"278","Kingandu",40.0422431224644
"279","Koshibanda",76.4233962787888
"280","Lusanga",115.878447978589
"281","Masi Manimba",117.836845670326
"282","Moanza",47.4741772229573
"283","Mokala",99.6747762688536
"284","Mosango",84.5805174938192
"285","Mukedi",77.5097037031147
"286","Mungindu",71.4773311846516
"287","Pay Kongila",76.9069568061478
"288","Yasa Bonga",141.472066750351
"289","Kabinda",65.7658892879149
"290","Kalambayi Kabanga",41.2595294928852
"291","Kalonda Est",30.3174704154483
"292","Kamana",17.4633331947013
"293","Lubao",22.0450790380465
"294","Ludimbi Lukula",26.26880712188
"295","Mulumba",297.686124094834
"296","Ngandajika",251.519245170934
"297","Tshofa",27.8029460424932
"298","Kalenda",55.0692880231436
"299","Kamiji",63.3155438752222
"300","Kanda Kanda",76.706267760181
"301","Luputa",89.0010778519096
"302","Makota",4850.13798351415
"303","Mweneditu",562.242122066691
"304","Wikong",161.534680203824
"305","Dilolo",20.6529288481672
"306","Kafakumba",9.67514215939618
"307","Kalamba",9.29977157776285
"308","Kapanga",13.294885962062
"309","Kasaji",15.4784906063989
"310","Sandoa",11.2090193402205
"311","Bunkeya",18.9258065117392
"312","Dilala",625.4938005252
"313","Fungurume",100.26140806543
"314","Kanzenze",24.1723175226403
"315","Lualaba",36.8539263611165
"316","Lubudi",9.75819189106503
"317","Manika",4352.91397580947
"318","Mutshatsha",2.84618886789976
"319","Banzow Moke",34.8384083953639
"320","Inongo",17.0918927793975
"321","Kiri",14.0214565114641
"322","Mimia",2.86479695045831
"323","Ntandembelo",41.7695837612753
"324","Oshwe",11.0839907405443
"325","Pendjwa",20.7337418188932
"326","Yumbi",66.7520668451844
"327","Bokoro",34.1628936436141
"328","Bolobo",40.9850708963563
"329","Bosobe",53.2009540372062
"330","Kwamouth",13.0634693630182
"331","Mushie",21.8435425159558
"332","Nioki",37.3232974320274
"333","Kabambare",9.29193777491378
"334","Kampene",33.32054203444
"335","Kasongo",123.974561692419
"336","Kibombo",15.9372125696467
"337","Kunda",47.7335875329374
"338","Lusangi",34.0410256569735
"339","Saramabila",71.5014940410258
"340","Tunda",5.11084806015917
"341","Alunguli",316.941556539143
"342","Kailo",8.65700559897001
"343","Kalima",50.5985747944291
"344","Kindu",1380.84931609787
"345","Pangi",18.3400588287856
"346","Samba",22.3704498389483
"347","Ferekeni",8.81981221538759
"348","Lubutu",13.8068575994608
