"","nom","pop_count"
"198","Kikimi",243911.700514198
"199","Kimbanseke",284562.242109534
"200","Kingasani",150898.896770938
"201","Maluku 1",308067.38507671
"202","Maluku 2",191502.100499148
"203","Masina 1",192795.013936046
"204","Masina 2",172917.086228951
"205","Ndjili",266467.595516814
"206","Nsele",975865.445090976
"207","Bandalungwa",134931.594495712
"208","Barumbu",110339.973271712
"209","Binza Meteo",620020.045967439
"210","Binza Ozone",696345.148269534
"211","Gombe",233696.410073972
"212","Kinshasa",98943.4203547149
"213","Kintambo",123231.594358949
"214","Kokolo",215220.565584279
"215","Lingwala",80548.0164546536
"216","Mont Ngafula 1",816861.272853057
"217","Mont Ngafula 2",555780.850112524
"218","Police",38331.0057843536
"219","Selembao",480898.440613706
"220","Boma",371797.04061509
"221","Boma Bungu",128380.955207648
"222","Kangu",241426.778486171
"223","Kinkonzi",139175.064260324
"224","Kitona",23091.6554270169
"225","Kizu",157942.863436293
"226","Kuimba",148865.968632909
"227","Lukula",404576.936065476
"228","Muanda",500397.518219624
"229","Tshela",153280.480360144
"230","Vaku",102793.165484714
"231","Inga",201306.749768966
"232","Kibunzi",80437.8292950872
"233","Luozi",194828.258790905
"234","Mangembo",151391.888025831
"235","Matadi",546510.46926113
"236","Nsona Mpangu",240121.834093003
"237","Nzanza",159856.197152803
"238","Seke Banza",303911.840226613
"239","Boko Kivulu",336574.568827909
"240","Gombe Matadi",196867.080400014
"241","Kimpangu",149035.696181217
"242","Kimpese",372132.897330073
"243","Kimvula",166018.295754356
"244","Kisantu",441388.217486241
"245","Kwilu Ngongo",305937.622571709
"246","Massa",236340.003488499
"247","Mbanza Ngungu",323479.557407117
"248","Ngidinga",210007.938500502
"249","Nselo",132845.906361888
"250","Sona Bata",102726.754377093
"251","Kahemba",233882.180195776
"252","Kajiji",103963.70409245
"253","Kisanji",115472.156943767
"254","Panzi",295314.229111529
"255","Tembo",115886.094386151
"256","Boko",253850.989100503
"257","Feshi",248999.485167591
"258","Kasongo Lunda",206966.029799814
"259","Kenge",494608.781374188
"260","Kimbao",217760.71138371
"261","Kitenda",133585.006525206
"262","Mwela Lembwa",132543.067939204
"263","Popokabaka",310442.24687741
"264","Wamba Lwadi",211523.340400647
"265","Bagata",274955.641449546
"266","Bandundu",363064.438303042
"267","Djuma",354435.403761173
"268","Kikongo",258217.804420476
"269","Sia",190856.824224031
"270","Vanga",500131.77741423
"271","Bulungu",488023.953181928
"272","Gungu",366623.510572331
"273","Idiofa",590299.497705996
"274","Ipamu",386090.51233063
"275","Kikwit Nord",398911.765901753
"276","Kikwit Sud",317376.076135213
"277","Kimputu",229596.788387642
"278","Kingandu",160857.34004441
"279","Koshibanda",335050.754814618
"280","Lusanga",504209.272560262
"281","Masi Manimba",317832.815290032
"282","Moanza",152063.341081952
"283","Mokala",322664.95342737
"284","Mosango",219791.154227967
"285","Mukedi",324073.236152899
"286","Mungindu",180149.905013311
"287","Pay Kongila",255732.138831638
"288","Yasa Bonga",378062.874597171
"289","Kabinda",367094.815067082
"290","Kalambayi Kabanga",157842.926422093
"291","Kalonda Est",127537.612564344
"292","Kamana",134642.568814552
