"","nom","gdp_pc"
"202","Maluku 2",2280.11979347001
"203","Masina 1",2316
"204","Masina 2",2316
"205","Ndjili",2316
"206","Nsele",2315.15972239685
"207","Bandalungwa",2393.13049617072
"208","Barumbu",2316
"209","Binza Meteo",2329.15143073816
"210","Binza Ozone",2629.83659390902
"211","Gombe",2382.53399254361
"212","Kinshasa",2316
"213","Kintambo",2500.50181115192
"214","Kokolo",2469.0026917151
"215","Lingwala",2316
"216","Mont Ngafula 1",2309.5706245972
"217","Mont Ngafula 2",2503.28559990911
"218","Police",2522.06625151329
"219","Selembao",2318.16682951626
"220","Boma",2375.5414355243
"221","Boma Bungu",1008.28207591145
"222","Kangu",875.406993340972
"223","Kinkonzi",1053.91989898792
"224","Kitona",1046.21031880821
"225","Kizu",996.844260421517
"226","Kuimba",1530.67017384199
"227","Lukula",878.833553810118
"228","Muanda",926.49635000571
"229","Tshela",1091.88086520937
"230","Vaku",932.927813488022
"231","Inga",676.299784371347
"232","Kibunzi",693.614040566078
"233","Luozi",738.37162040771
"234","Mangembo",825.80075387276
"235","Matadi",2091.99342543692
"236","Nsona Mpangu",892.836841704868
"237","Nzanza",1431.37964040329
"238","Seke Banza",679.315097656943
"239","Boko Kivulu",707.698821534979
"240","Gombe Matadi",724.415479318455
"241","Kimpangu",1220.52495475269
"242","Kimpese",702.452139337503
"243","Kimvula",935.072020113928
"244","Kisantu",777.049562953619
"245","Kwilu Ngongo",703.391102307519
"246","Massa",1255.66268545228
"247","Mbanza Ngungu",702
"248","Ngidinga",851.194880749959
"249","Nselo",839.281820605439
"250","Sona Bata",842.161356252202
"251","Kahemba",1225.65135175644
"252","Kajiji",1194.87321150062
"253","Kisanji",799.785212793695
"254","Panzi",632.692464233652
"255","Tembo",1189.2662273811
"256","Boko",780.431674523552
"257","Feshi",801.538252259476
"258","Kasongo Lunda",876.160979092525
"259","Kenge",752.497260249597
"260","Kimbao",753.831870427439
"261","Kitenda",835.246789620759
"262","Mwela Lembwa",793.313011707031
"263","Popokabaka",778.740159268093
"264","Wamba Lwadi",635.103916482654
"265","Bagata",697.434755735748
"266","Bandundu",744.947112135135
"267","Djuma",786.585805657441
"268","Kikongo",709.520504861197
"269","Sia",697.012902695635
"270","Vanga",786.818995664428
"271","Bulungu",798.451418480447
"272","Gungu",630.483037025859
"273","Idiofa",722.438282623904
"274","Ipamu",716.754816058207
"275","Kikwit Nord",1493.01835516727
"276","Kikwit Sud",1437.27770074044
"277","Kimputu",724.761837643838
"278","Kingandu",631.609752953259
"279","Koshibanda",720.351620299101
"280","Lusanga",849.789091726287
"281","Masi Manimba",631.79119668206
"282","Moanza",637.538225644077
"283","Mokala",722.990536431583
"284","Mosango",635.717667852348
"285","Mukedi",632.970988400782
"286","Mungindu",631.601642443325
"287","Pay Kongila",636.371264139521
"288","Yasa Bonga",632.938818075678
"289","Kabinda",714.596647838739
"290","Kalambayi Kabanga",726.66076093448
"291","Kalonda Est",705.869905613993
"292","Kamana",664.956489128249
"293","Lubao",666.390569400447
"294","Ludimbi Lukula",709.055236307955
"295","Mulumba",737.103159936419
"296","Ngandajika",723.510800643856
"297","Tshofa",666.242076544704
"298","Kalenda",679.329321861008
"299","Kamiji",829.487339946073
"300","Kanda Kanda",703.823604212178
"301","Luputa",678.083113163468
"302","Makota",843.655326457783
"303","Mweneditu",1016.46169008474
"304","Wikong",674.625847216143
"305","Dilolo",1248.20105603113
"306","Kafakumba",790.131370148689
"307","Kalamba",621.596692010495
"308","Kapanga",620.605799092221
"309","Kasaji",622.666636525257
"310","Sandoa",796.770602885318
"311","Bunkeya",876.282073660236
"312","Dilala",727.999999999999
"313","Fungurume",899.557442935978
"314","Kanzenze",740.813679099576
"315","Lualaba",737.105703684235
"316","Lubudi",893.176232222754
"317","Manika",728
"318","Mutshatsha",744.724397310085
"319","Banzow Moke",739.266457497132
"320","Inongo",752.393596071571
"321","Kiri",697.203571320631
"322","Mimia",628.241340872595
"323","Ntandembelo",756.246008974034
"324","Oshwe",639.072128064879
